scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-05-03,INVH,Southern California,"39688 Avenida Miguel Oeste, Murrieta, CA, 92563",Southern California,INVH-39688-avenida-miguel-oeste-92563-1474,4.0,3.0,2253.0,2965.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/39688-avenida-miguel-oeste-92563-1474,2026-04-04,2026-05-03,CA,Murrieta,,,,,39688-avenida-miguel-oeste-92563-1474
2026-05-03,INVH,Southern California,"37511 Vineyard Knoll Dr, Murrieta, CA, 92562",Southern California,INVH-37511-vineyard-knoll-dr-murrieta-ca-92562,3.0,2.5,1858.0,2949.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/37511-vineyard-knoll-dr-murrieta-ca-92562,2026-04-04,2026-05-03,CA,Murrieta,,,,,37511-vineyard-knoll-dr-murrieta-ca-92562
2026-05-03,INVH,Southern California,"29910 Morning Breeze Dr, Menifee, CA, 92584",Southern California,INVH-29910-morning-breeze-dr-92584-4149,4.0,2.0,1961.0,2949.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/29910-morning-breeze-dr-92584-4149,2026-04-20,2026-05-03,CA,Menifee,,,,,29910-morning-breeze-dr-92584-4149
2026-05-03,INVH,Southern California,"28663 Eridanus Dr, Menifee, CA, 92586",Southern California,INVH-28663-eridanus-dr-menifee-ca-92586,3.0,2.0,1522.0,3080.0,2026-05-24,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/28663-eridanus-dr-menifee-ca-92586,2026-04-26,2026-05-03,CA,Menifee,,,,,28663-eridanus-dr-menifee-ca-92586
2026-05-03,INVH,Southern California,"28703 Craig Ave, Menifee, CA, 92584",Southern California,INVH-28703-craig-ave-92584-7113,6.0,4.0,3453.0,4049.0,2026-05-07,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/28703-craig-ave-92584-7113,2026-05-03,2026-05-03,CA,Menifee,,,,,28703-craig-ave-92584-7113
2026-05-03,INVH,Southern California,"29623 Avenida de Real, Sun City, CA, 92586",Southern California,INVH-29623-avenida-de-real-sun-city-ca-92586,3.0,2.0,1293.0,2949.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/29623-avenida-de-real-sun-city-ca-92586,2026-04-13,2026-05-03,CA,Sun City,,,,,29623-avenida-de-real-sun-city-ca-92586
2026-05-03,INVH,Southern California,"27166 Denali Peak Rd, Menifee, CA, 92586",Southern California,INVH-27166-denali-peak-road-92586-120924,4.0,2.0,1959.0,2949.0,2026-05-20,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/27166-denali-peak-road-92586-120924,2026-05-03,2026-05-03,CA,Menifee,,,,,27166-denali-peak-road-92586-120924
2026-05-03,INVH,Phoenix,"20155 W Buchanan St, Buckeye, AZ, 85326",Phoenix,INVH-20155-w-buchanan-st-85326-89004,4.0,2.0,1869.0,1620.0,2026-06-12,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/20155-w-buchanan-st-85326-89004,2026-05-03,2026-05-03,AZ,Buckeye,,,,,20155-w-buchanan-st-85326-89004
2026-05-03,INVH,Phoenix,"24902 W Wayland Dr, Buckeye, AZ, 85326",Phoenix,INVH-24902-w-wayland-dr-85326-6478,5.0,3.0,2704.0,1799.0,2026-06-08,23 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/24902-w-wayland-dr-85326-6478,2026-04-26,2026-05-03,AZ,Buckeye,,,,,24902-w-wayland-dr-85326-6478
2026-05-03,INVH,Phoenix,"25366 W Romley Rd, Buckeye, AZ, 85326",Phoenix,INVH-25366-w-romley-rd-85326-96403,4.0,3.0,2197.0,1620.0,2026-05-03,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/25366-w-romley-rd-85326-96403,2026-04-20,2026-05-03,AZ,Buckeye,,,,,25366-w-romley-rd-85326-96403
2026-05-03,INVH,Phoenix,"25357 W Chipman Rd, Buckeye, AZ, 85326",Phoenix,INVH-25357-w-chimpman-rd-85326-111254,3.0,2.0,1565.0,1620.0,2026-05-03,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/25357-w-chimpman-rd-85326-111254,2026-04-04,2026-05-03,AZ,Buckeye,,,,,25357-w-chimpman-rd-85326-111254
2026-05-03,INVH,Phoenix,"23949 W Antelope Trl, Buckeye, AZ, 85326",Phoenix,INVH-23949-w-antelope-trl-buckeye-az-85326,4.0,2.0,1535.0,1620.0,2026-05-03,23 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/23949-w-antelope-trl-buckeye-az-85326,2026-04-04,2026-05-03,AZ,Buckeye,,,,,23949-w-antelope-trl-buckeye-az-85326
2026-05-03,INVH,Phoenix,"22512 W Desert Bloom St, Buckeye, AZ, 85326",Phoenix,INVH-22512-w-desert-bloom-st-buckeye-az-85326,3.0,2.0,1238.0,1799.0,2026-05-03,23 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/22512-w-desert-bloom-st-buckeye-az-85326,2026-04-04,2026-05-03,AZ,Buckeye,,,,,22512-w-desert-bloom-st-buckeye-az-85326
2026-05-03,INVH,Phoenix,"22008 W Hadley St, Buckeye, AZ, 85326",Phoenix,INVH-22008-w-hadley-st-85326-100359,3.0,2.0,1585.0,1620.0,2026-05-05,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/22008-w-hadley-st-85326-100359,2026-04-04,2026-05-03,AZ,Buckeye,,,,,22008-w-hadley-st-85326-100359
2026-05-03,INVH,Phoenix,"20613 W White Rock Rd, Buckeye, AZ, 85396",Phoenix,INVH-20613-w-white-rock-rd-85396-85832,3.0,2.5,1890.0,1620.0,2026-06-01,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/20613-w-white-rock-rd-85396-85832,2026-04-20,2026-05-03,AZ,Buckeye,,,,,20613-w-white-rock-rd-85396-85832
2026-05-03,INVH,Phoenix,"1647 N 209th Ave, Buckeye, AZ, 85396",Phoenix,INVH-1647-n-209th-ave-85396-84931,4.0,3.0,2194.0,1620.0,2026-05-03,23 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/1647-n-209th-ave-85396-84931,2026-04-04,2026-05-03,AZ,Buckeye,,,,,1647-n-209th-ave-85396-84931
2026-05-03,INVH,Phoenix,"21167 W Cypress St, Buckeye, AZ, 85396",Phoenix,INVH-21167-w-cypress-st-85396-88918,3.0,2.0,1608.0,1620.0,2026-05-03,23 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/21167-w-cypress-st-85396-88918,2026-04-04,2026-05-03,AZ,Buckeye,,,,,21167-w-cypress-st-85396-88918
2026-05-03,INVH,Phoenix,"2105 N 211th Dr, Buckeye, AZ, 85396",Phoenix,INVH-2105-n-211th-dr-85396-92062,4.0,2.5,2466.0,1895.0,2026-05-16,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/2105-n-211th-dr-85396-92062,2026-04-04,2026-05-03,AZ,Buckeye,,,,,2105-n-211th-dr-85396-92062
2026-05-03,INVH,Chicago,"4747 W Tulip Ave, Monee, IL, 60449",Chicago,INVH-4747-w-tulip-ave-60449-6096,4.0,2.5,2508.0,2170.0,2026-05-16,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/4747-w-tulip-ave-60449-6096,2026-04-20,2026-05-03,IL,Monee,,,,,4747-w-tulip-ave-60449-6096
2026-05-03,INVH,Chicago,"316 Neola St, Park Forest, IL, 60466",Chicago,INVH-316-neola-st-60466-8472,3.0,1.0,1193.0,2399.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/316-neola-st-60466-8472,2026-04-26,2026-05-03,IL,Park Forest,,,,,316-neola-st-60466-8472
2026-05-03,INVH,Chicago,"512 Fort Clatsop Ct, Joliet, IL, 60431",Chicago,INVH-512-fort-clatsop-ct-60431-3187,3.0,2.5,1590.0,2895.0,2026-05-29,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/512-fort-clatsop-ct-60431-3187,2026-04-20,2026-05-03,IL,Joliet,,,,,512-fort-clatsop-ct-60431-3187
2026-05-03,INVH,Chicago,"1722 Mystic Dr, Plainfield, IL, 60586",Chicago,INVH-1722-mystic-dr-60586-3933,4.0,3.5,1948.0,2515.0,2026-05-15,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/1722-mystic-dr-60586-3933,2026-05-03,2026-05-03,IL,Plainfield,,,,,1722-mystic-dr-60586-3933
2026-05-03,INVH,Chicago,"271 Springbrook Trl S, Oswego, IL, 60543",Chicago,INVH-271-springbrook-trl-s-60543-7132,3.0,1.5,1600.0,2515.0,2026-05-12,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/271-springbrook-trl-s-60543-7132,2026-05-03,2026-05-03,IL,Oswego,,,,,271-springbrook-trl-s-60543-7132
2026-05-03,INVH,Chicago,"1038 Colorado Ave, Aurora, IL, 60506",Chicago,INVH-1038-colorado-ave-60506-7157,4.0,2.0,1820.0,2595.0,2026-06-15,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/1038-colorado-ave-60506-7157,2026-05-03,2026-05-03,IL,Aurora,,,,,1038-colorado-ave-60506-7157
2026-05-03,INVH,Chicago,"902 Natoma Ct, Joliet, IL, 60431",Chicago,INVH-902-natoma-ct-60431-8425,3.0,1.5,1525.0,2620.0,2026-06-15,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/902-natoma-ct-60431-8425,2026-05-03,2026-05-03,IL,Joliet,,,,,902-natoma-ct-60431-8425
2026-05-03,INVH,Chicago,"3862 Pathfinder Ln, Joliet, IL, 60435",Chicago,INVH-3862-pathfinder-ln-60435-3453,2.0,2.5,1638.0,2699.0,2026-06-15,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/3862-pathfinder-ln-60435-3453,2026-05-03,2026-05-03,IL,Joliet,,,,,3862-pathfinder-ln-60435-3453
2026-05-03,INVH,Chicago,"2959 Rebecca Dr, New Lenox, IL, 60451",Chicago,INVH-2959-rebecca-dr-new-lenox-il-60451,4.0,2.5,2900.0,2595.0,2026-05-21,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/2959-rebecca-dr-new-lenox-il-60451,2026-04-13,2026-05-03,IL,New Lenox,,,,,2959-rebecca-dr-new-lenox-il-60451
2026-05-03,INVH,Chicago,"1341 Fairmount Ave, Joliet, IL, 60432",Chicago,INVH-1341-fairmount-ave-joliet-il-60432,3.0,2.0,1388.0,2620.0,2026-05-15,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/1341-fairmount-ave-joliet-il-60432,2026-04-04,2026-05-03,IL,Joliet,,,,,1341-fairmount-ave-joliet-il-60432
2026-05-03,INVH,Chicago,"81 Seabury Rd, Bolingbrook, IL, 60440",Chicago,INVH-81-seabury-rd-60440-7499,3.0,2.0,1372.0,2895.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/81-seabury-rd-60440-7499,2026-04-04,2026-05-03,IL,Bolingbrook,,,,,81-seabury-rd-60440-7499
2026-05-03,INVH,Chicago,"189 N Pinecrest Rd, Bolingbrook, IL, 60440",Chicago,INVH-189-n-pinecrest-rd-60440-9806,5.0,2.0,1750.0,2460.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/189-n-pinecrest-rd-60440-9806,2026-04-26,2026-05-03,IL,Bolingbrook,,,,,189-n-pinecrest-rd-60440-9806
2026-05-03,INVH,Chicago,"1187 Leawood Dr, Elgin, IL, 60120",Chicago,INVH-1187-leawood-dr-60120-7891,4.0,2.0,1997.0,2199.0,2026-05-15,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/1187-leawood-dr-60120-7891,2026-04-04,2026-05-03,IL,Elgin,,,,,1187-leawood-dr-60120-7891
2026-05-03,INVH,Chicago,"5726 Breezeland Rd, Carpentersville, IL, 60110",Chicago,INVH-5726-breezeland-rd-carpentersville-il-60110,4.0,2.5,2424.0,2199.0,2026-06-05,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/5726-breezeland-rd-carpentersville-il-60110,2026-05-03,2026-05-03,IL,Carpentersville,,,,,5726-breezeland-rd-carpentersville-il-60110
2026-05-03,INVH,Chicago,"624 S Pierce Ave, Wheaton, IL, 60187",Chicago,INVH-624-s-pierce-ave-wheaton-il-60187,3.0,1.5,1227.0,2599.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/624-s-pierce-ave-wheaton-il-60187,2026-04-04,2026-05-03,IL,Wheaton,,,,,624-s-pierce-ave-wheaton-il-60187
2026-05-03,INVH,Chicago,"622 E Le Moyne Ave, Lombard, IL, 60148",Chicago,INVH-622-e-le-moyne-ave-lombard-il-60148,3.0,1.5,1278.0,2795.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/622-e-le-moyne-ave-lombard-il-60148,2026-04-04,2026-05-03,IL,Lombard,,,,,622-e-le-moyne-ave-lombard-il-60148
2026-05-03,INVH,Chicago,"642 E Le Moyne Ave, Lombard, IL, 60148",Chicago,INVH-642-e-le-moyne-ave-lombard-il-60148,4.0,1.5,1280.0,2599.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/642-e-le-moyne-ave-lombard-il-60148,2026-04-04,2026-05-03,IL,Lombard,,,,,642-e-le-moyne-ave-lombard-il-60148
2026-05-03,INVH,Chicago,"321 S Yale Ave, Addison, IL, 60101",Chicago,INVH-321-s-yale-ave-addison-il-60101,3.0,2.0,1599.0,2599.0,2026-06-17,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/321-s-yale-ave-addison-il-60101,2026-05-03,2026-05-03,IL,Addison,,,,,321-s-yale-ave-addison-il-60101
2026-05-03,INVH,Chicago,"485 N Beverly Ave, Villa Park, IL, 60181",Chicago,INVH-485-n-beverly-ave-60181-7802,3.0,1.0,1313.0,2599.0,2026-06-15,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/485-n-beverly-ave-60181-7802,2026-05-03,2026-05-03,IL,Villa Park,,,,,485-n-beverly-ave-60181-7802
2026-05-03,INVH,Chicago,"1111 Brookwood St, Bensenville, IL, 60106",Chicago,INVH-1111-brookwood-st-60106-8523,4.0,1.5,1464.0,2599.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/1111-brookwood-st-60106-8523,2026-04-04,2026-05-03,IL,Bensenville,,,,,1111-brookwood-st-60106-8523
2026-05-03,INVH,Chicago,"135 Princeton St, Hoffman Estates, IL, 60169",Chicago,INVH-135-princeton-st-hoffman-estates-il-60169,3.0,1.0,1372.0,2995.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/135-princeton-st-hoffman-estates-il-60169,2026-04-04,2026-05-03,IL,Hoffman Estates,,,,,135-princeton-st-hoffman-estates-il-60169
2026-05-03,INVH,Chicago,"280 Mohave St, Hoffman Estates, IL, 60169",Chicago,INVH-280-mohave-st-hoffman-estates-il-60169,3.0,1.0,1496.0,2635.0,2026-06-17,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/280-mohave-st-hoffman-estates-il-60169,2026-05-03,2026-05-03,IL,Hoffman Estates,,,,,280-mohave-st-hoffman-estates-il-60169
2026-05-03,INVH,Chicago,"940 Sandlewood Ct, Lake Zurich, IL, 60047",Chicago,INVH-940-sandlewood-ct-lake-zurich-il-60047,3.0,2.0,1190.0,2199.0,2026-05-29,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/940-sandlewood-ct-lake-zurich-il-60047,2026-04-20,2026-05-03,IL,Lake Zurich,,,,,940-sandlewood-ct-lake-zurich-il-60047
2026-05-03,INVH,Chicago,"3202 Pheasant Dr, Rolling Meadows, IL, 60008",Chicago,INVH-3202-pheasant-dr-rolling-meadows-il-60008,3.0,1.0,1300.0,2635.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/3202-pheasant-dr-rolling-meadows-il-60008,2026-04-04,2026-05-03,IL,Rolling Meadows,,,,,3202-pheasant-dr-rolling-meadows-il-60008
2026-05-03,INVH,Chicago,"1550 E Anderson Dr, Palatine, IL, 60074",Chicago,INVH-1550-e-anderson-dr-palatine-il-60074,3.0,2.0,1500.0,2710.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/1550-e-anderson-dr-palatine-il-60074,2026-04-20,2026-05-03,IL,Palatine,,,,,1550-e-anderson-dr-palatine-il-60074
2026-05-03,INVH,Chicago,"1513 N Ridge Ave, Arlington Heights, IL, 60004",Chicago,INVH-1513-n-ridge-ave-arlington-heights-il-60004,4.0,2.0,1716.0,2710.0,2026-06-15,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/1513-n-ridge-ave-arlington-heights-il-60004,2026-05-03,2026-05-03,IL,Arlington Heights,,,,,1513-n-ridge-ave-arlington-heights-il-60004
2026-05-03,INVH,Chicago,"17342 Oriole Ave, Tinley Park, IL, 60477",Chicago,INVH-17342-oriole-ave-tinley-park-il-60477,3.0,2.0,1650.0,2520.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/17342-oriole-ave-tinley-park-il-60477,2026-04-04,2026-05-03,IL,Tinley Park,,,,,17342-oriole-ave-tinley-park-il-60477
2026-05-03,INVH,Chicago,"16154 Ozark Ave, Tinley Park, IL, 60477",Chicago,INVH-16154-ozark-ave-tinley-park-il-60477,3.0,2.0,1120.0,2180.0,2026-06-07,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/16154-ozark-ave-tinley-park-il-60477,2026-04-26,2026-05-03,IL,Tinley Park,,,,,16154-ozark-ave-tinley-park-il-60477
2026-05-03,INVH,Chicago,"4407 Richard Ave, Oak Forest, IL, 60452",Chicago,INVH-4407-richard-ave-oak-forest-il-60452,3.0,1.5,1445.0,2170.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/4407-richard-ave-oak-forest-il-60452,2026-04-04,2026-05-03,IL,Oak Forest,,,,,4407-richard-ave-oak-forest-il-60452
2026-05-03,INVH,Chicago,"4331 Scott St, Oak Forest, IL, 60452",Chicago,INVH-4331-scott-st-oak-forest-il-60452,3.0,2.0,1346.0,2170.0,2026-05-19,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/4331-scott-st-oak-forest-il-60452,2026-04-13,2026-05-03,IL,Oak Forest,,,,,4331-scott-st-oak-forest-il-60452
2026-05-03,INVH,Chicago,"14723 Menard Ave, Oak Forest, IL, 60452",Chicago,INVH-14723-menard-ave-oak-forest-il-60452,3.0,1.5,1360.0,2180.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/14723-menard-ave-oak-forest-il-60452,2026-04-04,2026-05-03,IL,Oak Forest,,,,,14723-menard-ave-oak-forest-il-60452
2026-05-03,INVH,Chicago,"1808 187th St, Homewood, IL, 60430",Chicago,INVH-1808-187th-st-60430-6131,3.0,2.0,1465.0,2170.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/1808-187th-st-60430-6131,2026-04-04,2026-05-03,IL,Homewood,,,,,1808-187th-st-60430-6131
2026-05-03,INVH,Chicago,"108 S Spruce Ln, Glenwood, IL, 60425",Chicago,INVH-108-s-spruce-ln-60425-7400,3.0,2.0,1500.0,2170.0,2026-06-16,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/108-s-spruce-ln-60425-7400,2026-05-03,2026-05-03,IL,Glenwood,,,,,108-s-spruce-ln-60425-7400
2026-05-03,INVH,Chicago,"8613 S Kean Ave, Hickory Hills, IL, 60457",Chicago,INVH-8613-s-kean-ave-hickory-hills-il-60457,4.0,2.5,1887.0,2180.0,2026-06-04,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/8613-s-kean-ave-hickory-hills-il-60457,2026-04-26,2026-05-03,IL,Hickory Hills,,,,,8613-s-kean-ave-hickory-hills-il-60457
2026-05-03,INVH,Chicago,"11521 S Karlov Ave, Alsip, IL, 60803",Chicago,INVH-11521-s-karlov-ave-60803-4858,4.0,1.0,1176.0,2180.0,2026-06-08,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/11521-s-karlov-ave-60803-4858,2026-04-26,2026-05-03,IL,Alsip,,,,,11521-s-karlov-ave-60803-4858
2026-05-03,INVH,Chicago,"10933 S Tripp Ave, Oak Lawn, IL, 60453",Chicago,INVH-10933-s-tripp-ave-60453-8500,4.0,2.5,1530.0,2180.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/10933-s-tripp-ave-60453-8500,2026-04-04,2026-05-03,IL,Oak Lawn,,,,,10933-s-tripp-ave-60453-8500
2026-05-03,INVH,Chicago,"9307 Nordica Ave, Oak Lawn, IL, 60453",Chicago,INVH-9307-nordica-ave-oak-lawn-il-60453,3.0,2.0,1349.0,2180.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/9307-nordica-ave-oak-lawn-il-60453,2026-04-04,2026-05-03,IL,Oak Lawn,,,,,9307-nordica-ave-oak-lawn-il-60453
2026-05-03,INVH,Chicago,"8841 Merrimac Ave, Oak Lawn, IL, 60453",Chicago,INVH-8841-merrimac-ave-oak-lawn-il-60453,4.0,2.0,1840.0,2180.0,2026-06-05,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/8841-merrimac-ave-oak-lawn-il-60453,2026-04-26,2026-05-03,IL,Oak Lawn,,,,,8841-merrimac-ave-oak-lawn-il-60453
2026-05-03,INVH,Chicago,"9141 Menard Ave, Oak Lawn, IL, 60453",Chicago,INVH-9141-menard-ave-60453-4977,3.0,1.0,1038.0,2460.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/9141-menard-ave-60453-4977,2026-05-03,2026-05-03,IL,Oak Lawn,,,,,9141-menard-ave-60453-4977
2026-05-03,INVH,Chicago,"9705 S 54th Ave, Oak Lawn, IL, 60453",Chicago,INVH-9705-s-54th-ave-oak-lawn-il-60453,3.0,1.0,1216.0,2180.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/9705-s-54th-ave-oak-lawn-il-60453,2026-04-13,2026-05-03,IL,Oak Lawn,,,,,9705-s-54th-ave-oak-lawn-il-60453
2026-05-03,INVH,Chicago,"4301 W 99th Pl, Oak Lawn, IL, 60453",Chicago,INVH-4301-w-99th-pl-oak-lawn-il-60453,4.0,2.0,1440.0,2180.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/4301-w-99th-pl-oak-lawn-il-60453,2026-04-13,2026-05-03,IL,Oak Lawn,,,,,4301-w-99th-pl-oak-lawn-il-60453
2026-05-03,INVH,Chicago,"7720 Mason Ave, Burbank, IL, 60459",Chicago,INVH-7720-mason-ave-60459-2315,3.0,1.0,1354.0,2180.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/7720-mason-ave-60459-2315,2026-04-04,2026-05-03,IL,Burbank,,,,,7720-mason-ave-60459-2315
2026-05-03,INVH,Chicago,"6710 N Central Park Ave, Lincolnwood, IL, 60712",Chicago,INVH-6710-n-central-park-ave-lincolnwood-il-60712,3.0,2.0,2118.0,2180.0,2026-06-15,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/6710-n-central-park-ave-lincolnwood-il-60712,2026-05-03,2026-05-03,IL,Lincolnwood,,,,,6710-n-central-park-ave-lincolnwood-il-60712
2026-05-03,INVH,Chicago,"9051 Forestview Rd, Evanston, IL, 60203",Chicago,INVH-9051-forestview-rd-evanston--il-60203,3.0,2.0,1800.0,2180.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/9051-forestview-rd-evanston--il-60203,2026-04-20,2026-05-03,IL,Evanston,,,,,9051-forestview-rd-evanston--il-60203
2026-05-03,INVH,Chicago,"961 Woodbridge Dr, Cary, IL, 60013",Chicago,INVH-961-woodbridge-dr-60013-9278,3.0,2.1,2059.0,2199.0,2026-06-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/961-woodbridge-dr-60013-9278,2026-04-20,2026-05-03,IL,Cary,,,,,961-woodbridge-dr-60013-9278
2026-05-03,INVH,Chicago,"1102 Lincoln Ave, Fox River Grove, IL, 60021",Chicago,INVH-1102-lincoln-ave-fox-river-grove-il-60021,3.0,1.0,1211.0,2499.0,2026-05-10,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/1102-lincoln-ave-fox-river-grove-il-60021,2026-04-04,2026-05-03,IL,Fox River Grove,,,,,1102-lincoln-ave-fox-river-grove-il-60021
2026-05-03,INVH,Chicago,"1712 Blue Island Dr, Crystal Lake, IL, 60012",Chicago,INVH-1712-blue-island-dr-60012-7208,3.0,2.0,1652.0,2199.0,2026-05-03,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/1712-blue-island-dr-60012-7208,2026-04-04,2026-05-03,IL,Crystal Lake,,,,,1712-blue-island-dr-60012-7208
2026-05-03,INVH,Phoenix,"12759 W Desert Mirage Dr, Peoria, AZ, 85383",Phoenix,INVH-12759-w-desert-mirage-dr-85383-84454,4.0,3.0,1814.0,2099.0,2026-06-12,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/12759-w-desert-mirage-dr-85383-84454,2026-05-03,2026-05-03,AZ,Peoria,,,,,12759-w-desert-mirage-dr-85383-84454
2026-05-03,INVH,Phoenix,"12794 W Pasaro Dr, Peoria, AZ, 85383",Phoenix,INVH-12794-w-pasaro-dr-85383-6752,5.0,3.0,2398.0,2235.0,2026-06-12,23 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/12794-w-pasaro-dr-85383-6752,2026-05-03,2026-05-03,AZ,Peoria,,,,,12794-w-pasaro-dr-85383-6752
2026-05-03,INVH,Phoenix,"2388 W Dusty Wren Dr, Phoenix, AZ, 85085",Phoenix,INVH-2388-w-dusty-wren-dr-85085-5811,3.0,2.0,2274.0,1840.0,2026-05-31,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/2388-w-dusty-wren-dr-85085-5811,2026-04-26,2026-05-03,AZ,Phoenix,,,,,2388-w-dusty-wren-dr-85085-5811
2026-05-03,INVH,Denver,"899 Daffodil St, Fountain, CO, 80817",Denver,INVH-899-daffodil-st-80817-4806,3.0,2.0,1330.0,2249.0,2026-05-03,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/899-daffodil-st-80817-4806,2026-04-20,2026-05-03,CO,Fountain,,,,,899-daffodil-st-80817-4806
2026-05-03,INVH,Denver,"1231 Whistler Hollow Dr, Colorado Springs, CO, 80906",Denver,INVH-1231-whistler-hollow-dr-80906-90293,3.0,4.0,2513.0,2330.0,2026-05-28,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/1231-whistler-hollow-dr-80906-90293,2026-04-13,2026-05-03,CO,Colorado Springs,,,,,1231-whistler-hollow-dr-80906-90293
